cypriot,turkish,greek,english
foutouniazoume,öfkeye kapılmak,θυμώνουμε,to get enraged
kallidjin,nal,πετάλι,horseshoe
koukoumas,kumbara,κουμπαράς,piggybank
kouspos,kazma,τσάπα,pickaxe
mandilia,havlu,πετσέτα,towel
mpoukkono,ağzı tıkamak,μπουκώνω,to fill/close the mouth
ploumizo,süslemek,στολίζω,to decorate
pounga,cep,τσέπη,pocket
rousoudin,kızamık,ιλαρά,measles
stouppono,tıkanmak,βουλώνω,to clog
voukka,yanak,μάγουλο,cheek
zivania,arak,ζιβανία,type of arak
 bumburislenme,karıncalanma,φαγούρα,tingle
uşana,rahim,μήτρα,womb
lagani,birikmiş su,συσσωρευμένο νερό,accumulated water
lukgo,delik,τρύπα,hole
Chofta/Choftes,Saçmalık veya yalan,Μαλακίες ή ψέματα,bullshit or lies
liveri,"uzun, ağır, ucu keskin ve üçgen, çukur kazmaya yarayan demir","μακρύ και βαρύ σίδερο με αιχμηρή και τριγωνική άκρη, που χρησιμοποιείται για το σκάψιμο λάκκων","long and heavy iron with a sharp and triangular tip, used for digging holes"
leva,levye,λοστό,Crowbar
ciboyi,"önü çengelli, hayvanları ayağından yakalamaya yarayan alet","εργαλείο με αγκιστρωτή πρόσοψη, που χρησιμοποιείται για να πιάνει τα ζώα από το πόδι","a tool with a hooked front, used to catch animals by the foot"
hellimli,içinde hellim barındıran poğaça türü unlu mamül,αρτοσκευάσματα τύπου ζαχαροπλαστικής που περιέχουν χαλούμι,pastry type bakery product containing halloumi
ariya,matkap,Τρυπάνι,Drill
formika,kek kalıbı,φόρμα για κέικ,cake mould
Langufa,Çukur,Λάκκος,Pit
Kıstırık,"Mandal, maşa","Μανταλάκια, λαβίδες","Clothespins, tongs"
dilihti,Yabani ıspanaktan yapılan bir börek,Μια πίτα από άγριο σπανάκι,A pie made from wild spinach
dirihti,Yabani ıspanaktan yapılan bir börek,Μια πίτα από άγριο σπανάκι,A pie made from wild spinach
dirifti,Yabani ıspanaktan yapılan bir börek,Μια πίτα από άγριο σπανάκι,A pie made from wild spinach
Drada,Büyük yük gemisi/Obur,Μεγάλο φορτηγό πλοίο /Φαγάνας,Large Cargo ship/glutton or overeater
Afa,Herif/Adam,τύπος,bloke
Isbor,Spor,Αθλητισμός,Sport
Dangos,Aşırı yağlı yemek,Υπερβολικά λιπαρά τρόφιμα,Excessively fatty food
Guspo,"Capa, Kazma",Αξίνα,Pickaxe
Garavolli,Salyangoz,Σαλιγκάρι,Snail
Ablos,"Rütbesiz, sıradan, önemsiz","Ασήμαντος, απλός, ασήμαντος","Insignificant, ordinary, trivial"
Abosafi,Karar vermek,Λήψη απόφασης,To make a decision
Abohti/Abofdi,Bir tür pastırma,Ένα είδος παστουρμά,A type of cured meat
Abrıl,Nisan ayı,Απρίλιος,April
Acamı,"Tecrübesiz, işinde yeni olan(kişi)","Άπειρος, νέος στη δουλειά (άτομο)","Inexperienced, novice (person)"
Pataniya,Bataniye,Κουβέρτα,Blanket
Fanella,Tişört,Φανέλα,T-shirt
Bondoboksi,Kısa boylu,Κοντός,Short stature
Babuç,Terlik/Sandal,Παντόφλα/Σανδάλι,Slippers/Sandals
Babutsa,Yerli Kaktus türü,Τοπικό είδος κάκτου,Local cactus type
Ziligurti,Zehir cikarasin,Φτύνω δηλητήριο,Spit poison
Hasba cikar,Usandim Elinden,Δεν αντέχω άλλο μαζί σου!,I'm fed up with you
Gondea,Türkmenköy,Τουρκοχώρι,Turkmenkoy (a place)
Gazafana,Ozan Köy,Χωριό Οζάν,Ozan Village
Siro,Bilinmiyor,Άγνωστο,Unknown
Ziziro,Ağustos Böceği,Τζίτζικας,Cicada
Zirzirolar,Ağustos böcekleri,Τζιτζίκια,Cicadas
Garacocco,Siyah susam,Μαύρο σουσάμι,Black sesame
Selenduruna,Küçük Kertenkele,Μικρή σαύρα,Small lizard
Alizavra,Büyük Kertenkele,Σαύρα,Large lizard
Gusbo,Kazma,Καλέμι,Pickaxe
Abondele,Kafa karışıklığı,Σύγχυση,Confusion
Angoni,Torun,Εγγόνι,Grandchild
Langirti,Yüksek ani ses,Δυνατός ξαφνικός ήχος,High sudden noise
Bavuri,Bidon,Κανάτα,Canister
Uruba,Kıyafet(ler),Ρούχα,Clothes
Sakgulli,"Çanta, Çuval","Σακούλα, Σακί","Bag, Sack"
Kapella,Şapka,Καπέλο,Hat
Boru,Korna,Κόρνα,Horn
Buji,Araba parçası,Μπουζί,Car part
Gabo,Araba kaportası,Καπό αυτοκινήτου,Car body
Deyigirmi,"Araba tekerleği, Jant","Τροχός αυτοκινήτου, Ζάντα","Car wheel, Rims"
Trapez,Bilinmiyor,Άγνωστο,Unknown
Gudalya,Bilinmiyor,Άγνωστο,Unknown
Caki,Bilinmiyor,Άγνωστο,Unknown
Dacca,Bilinmiyor,Άγνωστο,Unknown
Mavro Yerimo,Bilinmiyor,Άγνωστο,Unknown
Pasadempo,Kabak çekirdeği,Κολοκυθόσπορος,Pumpkin seed
Şasurdi,Aklı karışık,Συγχυσμένος,Confused
Şasurdis,Aklı karışık,Συγχυσμένος,Confused
Desteban,Köy Bekçisi,Φύλακας χωριού,Village guard
Goccinogologo,Kırmızı popo,Κόκκινος κώλος,Red bottom
Goccino,Kırmızı,Κόκκινο,Red
Gologo,Popo,Κώλος,Bottom
Isbaho,İp,Σχοινί,Rope
Fiskilik,Disk,Δίσκος,Disc
Mezdeki,Baf sakızı,Τσίχλα από την Πάφο,Bath gum
Gatsaris,Tavukların kıllarını yakma,Κάψιμο φτερών κοτόπουλου,Burning chicken feathers
Dilliro,Üretken ancak tembel insan,Παραγωγικός τεμπέλης άνθρωπος,Productive lazy person
Gokko,Şeker,Ζάχαρη,Sugar
Çatoz,Serdarlı,Σερδαρλή,Serdarli (a place)
Siona,Yaban arısı,Αγριομέλισσα,Wild wasp
Lapatoz,Boğaziçi,Βόσπορος,Bosphorus
Gurumanastir,Çukurova,Τσουκούροβα,Cukurova (a place)
Diriil,Yonca,Τριφύλλι,Clover
Verigo,Üzüm türü,Ποικιλία σταφυλιών,Grape type
Bogurmek,Bağırmak,Φωνάζω,Shout
Solina,Su borusu,Σωλήνας νερού,Water pipe
Molehiya,Geleneksel ıspanak yemeği,Παραδοσιακό πιάτο με σπανάκι,Traditional spinach dish
Tayfalmak,Bunalmak,Αγχωθείτε,To be overwhelmed
Orasda,Oradaki cisim,Αντικείμενο εκεί,That object there
Bendo,Asır altın,Καθαρός χρυσός,Pure gold
Mora,Paşaköy,Πασάκιοι,Pasakoy (a place)
Bodamya,Akça,Χρήμα,Money
Isvic,Kontak anahtarı,Κλειδί ανάφλεξης,Ignition key
Bastarda,Ailesi bilinmeyen,Άτομο άγνωστης καταγωγής,Of unknown family
Vordo,Fellah,Αγρότης,Peasant
Guello,Salak,Βλάκας,Fool
Kukuletta,Şapka,Καπέλο,Hat
Kapison,Kapüşon,Κουκούλα,Hoody
Midem,Madem,Αφού,Since
Piron,Çatal,Πιρούνι,Fork
Drabez,Masa,Τραπέζι,Table
Masappa,Taşlı Kova,Κουβάς από πέτρα,Stone bucket
Gamasa,Gerizekalı,Ηλίθιος,Stupid
Gindir,"Arala, aralık","Χάσμα, διάστημα","Gap, interval"
Kıs,Kes/kapat,Κόψτε/Κλείστε,Cut/Close
Oftirikord,Aramızda kalsın,Ας μείνει μεταξύ μας,Let's keep it between us
Guli,Köpek,Σκύλος,Dog
Tumali,Polis,Αστυνομικός,Police
Ikanmak,Yıkanmak,Πλένω,To wash
Sonram,Sonra,Μετά,After
Ikladim,Ayıklamak,Να καθαρίσω,To sober up
Ikla,Ayıkla,Καθαρίζω,Sober up
Pambik,Pamuk,Βαμβάκι,Cotton
Gara,Siyah,Μαύρο,Black
Bura,İşaret edilen yer,Υποδεικνυόμενος τόπος,Indicated place
Cakizdez,Yeşil Turşu Zeytin,Πράσινες ελιές τουρσί,Green pickled olives
Cav,Heyecan sesi,Ήχος ενθουσιασμού,Excitement sound
Genne,O kişiye,Σε αυτό το άτομο,To that person
Gey,Giy,Φοράω,Wear
Geymek,Giyindim,Ντύθηκα,I dressed
Sok,Koymak/yerleştir,Βάζω,To put
Gologaz,Yerli Yemek,Τοπικό φαγητό,Local dish
Hellim,Süt ürünü ama peynir değil,Προϊόν γάλακτος αλλά όχι τυρί,Dairy product but not cheese
Cakirdak,Don'daki pisliğin kakac olması,Η βρωμιά στον πάγο που γίνεται κόπρανα,Dirt on the ice being poop
Frammo,Bilinmiyor,Άγνωστο,Unknown
Dosan,İkinci el,Δεύτερο χέρι,Second hand
Digne,Dinle,Άκου,Listen
Barbadutsa,Bebek Yürütücü,Περιπατητής μωρού,Baby walker
Gufi,Yerel Zehirli Yılan,Τοπικό δηλητηριώδες φίδι,Local poisonous snake
Bildircin,Yerel Kuş türü,Τοπικό είδος πουλιού,Local bird type
Murro,Moron,Ηλίθιος,Moron
Banna,Hayvan Tedavisi,Θεραπεία ζώων,Animal treatment
Seftali,Tüpte yapılan Yerli Kebab,Τοπικό κεμπάπ φτιαγμένο σε σωλήνα,Local kebab made from tripe
Bullez,Küçük yerli sebze,Μικρό τοπικό λαχανικό,Small local vegetable
Badadez bullez,Patates ve küçük yerli sebzeden yapılan yemek,Πιάτο από πατάτες και μικρά τοπικά λαχανικά,Dish made from potatoes and small local vegetables
Gologaz,Yerli Sebze,Τοπικό λαχανικό,Local vegetable
Dribidez,Üç delikli şişe,Μπουκάλι με τρεις τρύπες,Three-holed bottle
Dango,Çirkin,Άσχημος,Ugly
Nesdeng?,Ne istiyorsun?,Τι θέλεις;,What do you want?
Giccaccik,Kız,Κορίτσι,Girl
Pust Pezevenk,Yerel argo kalıp,Τοπική αργκό,Local slang
Napan,Merhaba,Γεια,Hello
Ispaho,İp,Σχοινί,Rope
Belo,Kırmak,Σπάω,Break
Gaco,Lefkara işinde kare sınırlara yapılan el işi variyasyonu,Είδος χειροτεχνίας με τετράγωνα όρια στη δουλειά της Λευκάρ,Lefkara square-bordered handicraft variation
Davinci,Leonardo Da Vinci’nin Son akşam yemeğinde kullandığı Kıbrıs’tan satın alınan,"Αγοράστηκε από την Κύπρο, χρησιμοποιήθηκε στο τελευταίο δείπνο του Leonardo Da Vinci","Bought from Cyprus, used in Leonardo Da Vinci's Last Supper"
Gucci,Ayakta bilye oyununda atış şekli,Τρόπος ρίψης στο παιχνίδι με μπίλιες,Marble game shooting style
Gofti,Alçalarak bilye atış şekli,Στυλ ρίψης μπίλιας χαμηλά,Crouching marble shooting style
Pirili,Bilye,Μπίλια,Marble
Hemeneken,Yerli oyun,Τοπικό παιχνίδι,Local game
Gurgura,"Gırtlak, boğaz",Λαιμός,Throat
Lingeri,Yerli oyun,Τοπικό παιχνίδι,Local game
Balligari,Güçlü kuvvetli,Δυνατός,Strong and powerful
Ditsiro,"Çıplak, Fakir","Γυμνός, φτωχός","Naked, poor"
Millingidi,"Hastalıklı, Zayıf","Αρρωστιάρης, αδύναμος","Sickly, weak"
Dilbandi,Kendini bir şey zanneden,Αυτοσημαντικός,Self-important
Luana,"Yerli Ot, Yerli yemek çeşiti","Τοπικό χόρτο, τοπικό είδος φαγητού","Local herb, local dish variety"
Mangallo,Yerli turşu,Τοπικό τουρσί,Local pickle
Gullumbura,"Yerli turp çeşiti, yemek çeşiti","Τοπικό είδος ραπανάκι, είδος φαγητού","Local radish type, dish variety"
Gullumbara,Rica üstüne göt σίκεν,Άγνωστο,"Rude expression, literal translation inappropriate"
Gombina,Entrika,Ιντρίγκα,Intrigue
Voli,Vole (Voliyi vurma),Βολή,Volley (hitting a volley)
İndiregandi,Rüşvet,Δωροδοκία,Bribe
Fenalla,"Kazak, İçlik","Πουλόβερ, εσωτερικό","Sweater, undershirt"
Tabella,Tabela,Πινακίδα,Signboard
Voppa,Yerli balık,Τοπικό ψάρι,Native fish
Gullirika,Pekmezden yapılan yerel tatlı,Τοπικό γλυκό φτιαγμένο από πετιμέζι,Local dessert made with molasses
Gulluri,Simit,Κουλούρι,Bagel
Golifa,Bilinmiyor,Άγνωστο,No Turkish translation provided
Bidda badadaz,Bilinmiyor,Άγνωστο,No Turkish translation provided
Badadez köftesi,Bilinmiyor,Άγνωστο,No Turkish translation provided
Mesenjer,Odacı,Υπάλληλος,Bellboy
Bullaga,Basık yuvarlak. Tam yuvarlak olmayan,Πλατύ στρογγυλό. Όχι απόλυτα στρογγυλό,"Flattened round, not perfectly round"
Aforoz,Tertiplemek,Οργάνωση,Arrange
Borga,Önlük,Ποδιά,Apron
Glaj,Debriyaj,Συμπλέκτης,Clutch
Tekne,Lavabo,Νιπτήρας,Sink
Afdos,"Gizli sevgili, Metres","Ερωμένη, κρυφή αγάπη","Mistress, secret lover"
Aferim,"Beğenme, Övme, Aferin",Μπράβο,"Well done, praise"
Aferina/Aterina,Küçük boylu bir tür balık,Ένα είδος μικρού ψαριού,A type of small fish
Aforiya,"Kısır, verimsiz","Άγονο, μη παραγωγικό","Barren, unproductive"
Afroza,Suyla karıştırılıp içildiğinde köpüren sodalı madde,Αναβράζουσα σόδα,Effervescent soda
Afyon,Haşhaş kapsüllerinden yapılan uyuşturucu,Όπιο,Opium
Ağa,Köy ve kasabalarda sözü geçen nüfuslu kişi,Επιρροή στα χωριά,Influential person in villages
Ağrelli/Ayrelli,"Taze sürgünleri yenebilen bir tür ot, kuşkonmaz",Σπαράγγι,Asparagus
Ahanadu,Ölümsüz anlamına gelen bir tür bitki,Αθάνατο φυτό,Everlasting plant
Ahlavuna,Pilavuna,Τοπικό πιάτο με ρύζι,Local dish with rice
Ahraciya,Böğrülceyle yemeği yapılan yabani bir ot,Άγριο φυτό που χρησιμοποιείται στα γεύματα,Wild plant used in meals
Ahretti/Ahreddi/Arahti/Arakti,"Yün eğirmeye yarayan alet, kirmen",Εργαλείο περιστροφής μαλλιού,Wool spinning tool
Ahristo,"Gevşemiş, verimsiz, kullanılamaz duruma gelmiş şey","Χαλασμένο, άχρηστο","Loosened, worn out"
Aht,"Yemin, ant",Όρκος,Oath
Ahıla vahıla,"Acıma, üzüntü ifade eden sözcükler",Λέξεις που εκφράζουν οίκτο ή λύπη,Words expressing pity or sorrow
Akakiya/Agagiya,Kıbrıs akasyası,Ακακία Κύπρου,Cyprus acacia
Aksona/Agsona,"Tekerlek mili, Dingil",Άξονας,Axle
Alagadi,Balıkçıların misinayı sardıkları makara,Μηχανή αλιείας,Fishing reel
Babakya/Babatya,Papazın karısı,Η γυναίκα του παπά,Priest's wife
Babatsino,"Bir çeşit meyve, diken dudu, böğürtlen","Ένα είδος φρούτου, βατόμουρο","A type of fruit, blackberry"
Babay,"Hoşça kal, Güle güle",Αντίο,Goodbye
Babbarga,Verimsiz toprak,Άγονη γη,Barren land
Babıç/Babış/Babuş,Evin içinde giyilen ayakkabı,Παπούτσι εσωτερικού χώρου,House shoe
Babillaro,Erken olgunlaşan incir,Σύκο που ωριμάζει νωρίς,Early ripening fig
Babudsa,"Kaktüs, Mısır inciri, kaktüs ve meyvesi","Κάκτος, και ο καρπός του","Cactus, prickly pear"
Babutsosiga,"Babutsanın meyvesi, babutsa inciri","Φρούτο του κάκτου, σύκο της Μπαμπουτσάς",Prickly pear fruit
Baççavura/Paçavura,"Eskimiş bez, çaput, kirli ve yırtık bez","Παλιό πανί, κουρέλι","Old cloth, rag"
Bado,"Ayakkabı kalıbı, ayakkabının içine konan yükseltici madde, kat","Σόλα παπουτσιού, ένθετο ανύψωσης","Shoe insert, insole"
Bado,İpek böcekçiliğinde merteklere asılan iplerin arasına bağlanan 60 cm'lik hasırlar,Ψάθες δεμένες μεταξύ των σπειρών που κρέμονται από τους δοκούς στη μεταξουργία,60 cm mats tied between threads hung on beams in silkworm farming
Baduna/Badune,Düztaban,Επίπεδος,Flatfoot
Baduri,Elek,Κόσκινο,Sieve
Bafidi,"Baflı, Baf köyünden olan kişi",Άτομο από την Πάφο,Person from Paphos
Bakara/Bagara,Makara,Τροχαλία,Reel
Baggalao/Buggalao,Tuzlaması yapılan bir tür balık,Ένα είδος αλατισμένου ψαριού,A type of salted fish
Bağado,Dondurma,Παγωτό,Ice cream
Balligarya/Ballikarya/Balligari,Kabadayı,Μπράβος,Bully
Ballura/Pallura,Bir çeşit dikenli bitki,Ένα είδος αγκαθωτού φυτού,A type of thorny plant
Bambulli,"Şişlik, su kabarcığı, baloncuk","Οίδημα, υδατική φούσκα, φυσαλίδα","Swelling, water bubble, bubble"
Bandabuliya,"Belediye çarşısı, kapalı pazar yeri","Δημοτική αγορά, σκεπαστή αγορά","Municipal bazaar, covered market place"
Bango/Banko,Tezgah,Πάγκος,Counter
Barabahna,Hayvanların yem yediği ahşaptan yapılmış yer,Ξύλινη θέση που χρησιμοποιούν τα ζώα για φαγητό,A place made of wood where animals eat
Barabono,"Şikayet, yakınma",Παράπονο,Complaint
Barbadusa/Barbarudsa/Bahbadusa,Yürüteç,Περπατούρα,Walker
Peşgir,Genellikle mutfakta kullanılan küçük havlu,Πετσέτα κουζίνας,Tea towel that is used in the kitchen
Goflamak,Gaza getirmek,να ενθουσιάσει κάποιον,Pump someone up/ Getting someones blood up
Gomma,Arkadaş/Ahbap,Φίλος/Φίλη,Friend
Gannavuri,Uyuşturucu,Ουσίες,Weed Drug
Barella,"Gemilerde pervanelerin takıldığı kısım, pervane yatağı","Θέση του προπέλα σε πλοία, έδραση προπέλας","The part where propellers are installed on ships, propeller bearing"
Barıd,Barut,Μπαρούτι,Gunpowder
Bariya,Dost grubu,Φιλική παρέα,Friend group
Barra,"Çekip gitme, Defolma",Φύγε,Get out of here
Basbalya,"Tokat, şamar",Χαστούκι,Slap
Basdiş/Bastiş,"Nikah veya düğünlerde dağıtılan bir tür pasta, pastiş",Ένα είδος κέικ που διανέμεται σε γάμους,A type of cake distributed at weddings or weddings
Baso,"Vazgeçme, caymak",Εγκαταλείπω,Give up
Bastarda,"Evlilik dışı doğan veya babası belli olmayan çocuk, piç",Εξώγαμο παιδί,Bastard
Bastelli/Basdelli/Pastelli,keçiboynuzu şurubundan yapılan geleneksel bir Kıbrıs tatlısıdır,Παστέλι,Pastelli is a traditional Cypriot sweet made of carob syrup.
Eyya,"Evet, Dogrudur",Ναι,Yes/right/correct
dabaca,kamış ya da dut ağacı dallarından yapılan ekmek sepeti,καλάθι από καλάμια ή κλαδιά μουριάς,basket made of reed or mulberry branches
daf,T biçimindeki boru ek yeri,σύνδεσμος σχήματος Τ,T-shaped pipe joint
dakko,"takoz, sandal desteği","τάκος, στήριγμα για βάρκα","chock, boat support"
dakko/daggo,"büyük parça, fazla","μεγάλο κομμάτι, υπερβολικό","large piece, excess"
daksipa,"beklenmedik bir anda ortaya çıkan, ansızın","εμφανιζόμενος ξαφνικά, απρόσμενα","suddenly appearing, unexpectedly"
dalari/dalar,nor/peynir/hellim süzmeye yarayan sazdan yapılan kap,δοχείο από καλάμι για σούρωμα τυριού/χαλουμιού,vessel made of reed used for straining curd/cheese/hellim
danaş,"akıl almak, fikir sormak","ζητώ συμβουλή, ζητώ γνώμη","to seek advice, to ask for an opinion"
dane,"tohum, adet, her biri","σπόρος, μονάδα, το καθένα","seed, unit, each"
daratsa,"evlerin girişindeki küçük oda, teras","μικρό δωμάτιο στην είσοδο του σπιτιού, βεράντα","small room at the entrance of a house, terrace"
dayak yedi,"oyunda yenilmek, kaybetmek",χάνω σε παιχνίδι,to lose in a game
deyyus,karısını satan veya aldatan,άντρας που πουλάει ή απατά τη γυναίκα του,a man who sells or cheats on his wife
deza,"kıvamında, en yüksek noktasında","στην κορυφή του, σε άριστη κατάσταση","at its peak, in perfect condition"
dırada,"yardımcı balıkçı teknesi, çektiri","βοηθητικό αλιευτικό σκάφος, μικρή ιστιοφόρος βάρκα","auxiliary fishing boat, small sailing boat"
dırahoma,Ortodokslarda güveyiye verilen çeyiz,προίκα που δίνεται στον γαμπρό στην Ορθόδοξη παράδοση,dowry given to the groom in Orthodox traditions
dıramba/trampa,değiş tokuş,"ανταλλαγή, παζάρι","barter, exchange"
dırankaşa,hurda haline gelmiş araba,αυτοκίνητο που έχει μετατραπεί σε παλιοσίδερα,car reduced to scrap
dıraşilya,hayvanların boyunduruğunun altına konan atın bez,πανί τοποθετημένο κάτω από τον ζυγό των ζώων,cloth placed under the yoke of animals
diblari,ikiz kuzu doğuran koyun,προβατίνα που γεννάει δίδυμα αρνάκια,ewe that gives birth to twin lambs
dibozido,büyük su deposu,μεγάλη δεξαμενή νερού,large water tank
diftiri,"çıplak, hiçbir şeyi olmayan","γυμνός, χωρίς τίποτα","naked, having nothing"
diftiros,yarı çıplak,ημίγυμνος,half-naked
dilihti/dilihto/dirihti,ıspanaklı bir tür börek,πίτα με σπανάκι,a type of pastry with spinach
dilliro,dillirgalı,με ντιλίργκα (ειδικός όρος),with dillirga (a specific term)
dimbaro,"davul, trampet, kulak zarı","τύμπανο, ταμπούρο, τύμπανο αυτιού","drum, snare drum, eardrum"
diployeni,sakalı iki yana uzayan,γένια που απλώνονται και στις δύο πλευρές,beard extending to both sides
diplokuskunos,çift horgüçlü deve,καμήλα με δύο καμπούρες,double-humped camel
dirabez/tırabez,masa,τραπέζι,table
diratsani,küçük boynuzlu koç,κριάρι με μικρά κέρατα,ram with small horns
diribidez,sacda pişirilen bir çeşit pide,πίτα ψημένη σε μεταλλική πλάκα,a type of flatbread cooked on a metal sheet
dirifil/tirifil,yabani yonca,άγριο τριφύλλι,wild clover
diriftari,hamur parçalarından yapılmış çorba,σούπα φτιαγμένη από κομμάτια ζύμης,soup made from pieces of dough
dirifti,rende,τρίφτης,grater
diriftiri,"mala, sıvayı düzeltmeye yarayan alet","σπάτουλα, εργαλείο για την εξομάλυνση σοβά","trowel, a tool for smoothing plaster"
diriha,ceketle astar arasına konan kalın kumaş,παχύ ύφασμα τοποθετημένο μεταξύ του σακακιού και της φόδρας,thick fabric placed between a jacket and its lining
diriminis,ölen birinin kırklanana kadar geçen sürede üç aydan gün alması,η περίοδος των τριών μηνών μετά τον θάνατο κάποιου μέχρι την τεσσαρακοστή ημέρα,the period within three months after someone's death until the fortieth day
ditsi/gitsa/diçi,"bir tür av kuşu, çok zayıf","ένας τύπος θηραμάτων, πολύ αδύνατος","a type of game bird, very thin"
ditsiro,"çıplak, çok fakir","γυμνός, πολύ φτωχός","naked, very poor"
diyanisi,yağda kızartılmış soğan,τηγανισμένο κρεμμύδι,fried onion
dombila/dombula/tombila,tombala,μπίνγκο,bingo
dono/tono,bir tonluk ağırlık ölçüsü,μονάδα βάρους ίση με έναν τόνο,a unit of weight equal to one ton
dono,"demet halinde bükülmüş saz, örülmüş sazdan yapılan sandalye","δέσμη από λυγισμένα καλάμια, καρέκλα φτιαγμένη από πλεκτά καλάμια","bundle of bent reeds, chair made of woven reeds"
doriyan,ücretsiz gönüllü çalışan kimse,εθελοντής που εργάζεται χωρίς πληρωμή,a volunteer working without pay
döblek/deblek/deflek/dümlek/döplek,"dümbelek, darbuka","τουμπελέκι, νταρμπούκα","goblet drum, darbuka"
döğen/düven,harmanda ekinin sap ile tanelerini ayıran alet,εργαλείο που χρησιμοποιείται στο αλώνισμα για να διαχωρίσει το σιτάρι από το στάχυ,a tool used in threshing to separate grain from the stalk
dört çar,zarın dört dört gelmesi,ρίξιμο δύο τεσσάρων στα ζάρια,rolling double fours in dice
drabana,matkap,τρυπάνι,drill
draşilla/draşilya,Bağzıkara da denilen bir tür kuş,ένας τύπος πουλιού που ονομάζεται επίσης Μπαγζικάρα,a type of bird also known as Bağzıkara
drohalla/dorobulla,hellim yapılırken artakalan kırıntılar,υπολείμματα από την παραγωγή χαλουμιού,leftover crumbs from making halloumi
drolli,"el arabası, romörk","καροτσάκι, ρυμουλκούμενο","wheelbarrow, trailer"
durulli,"doruk, üst","κορυφή, πάνω","peak, top"
durumbono/drumbono/drumbolo,"öne doğru eğilerek kıçını gösterme, kıç ortaya çıkacak şekilde eğilme","κάμψη προς τα εμπρός για να δείξει τα οπίσθια, σκύψιμο που αποκαλύπτει τα οπίσθια","bending forward to show the buttocks, leaning so the buttocks are exposed"
çabba,toprağı kazmak için kullanılan alet,ξινάρι,pickaxe
çabba,gemi demiri,άγκυρα,anchor
çappık,çabuk,γρήγορος,quick
çakıstez/çakızdez,belirli işlemlerden geçerek hazırlanan Kıbrıs’a özgü yeşil zeytin,τσακιστές ελιές,processed green olives from Cyprus
çakkari,hayvanların boyuna takılan küçük çan,κουδουνάκι για ζώα,small bell worn around the neck of animals
çakraya gelmek,oyuna gelmek,παγιδεύομαι,being tricked
çakrobudilya/çakrobidilya,yumurta otu,σολανό,solanum
çakulet/çukulet/çukulat,çukulata,σοκολάτα,chocolate
çangar,"ayakkabıcı, deri ustası, çangar çizmesi yapan usta","τσαγκάρης, τεχνίτης δερμάτινων ειδών, κατασκευαστής μποτών Çangar","shoemaker, leather craftsman, Çangar boot maker"
çap,"hile,yalan,dolandırma","απάτη, ψέμα","fraud, lie, scam"
çapaçulli,"kötü giyimli,pasaklı","κακοντυμένος, απεριποίητος","poorly dressed, slovenly"
çardelli/sardelli,bitki türü ve onun çiçeği,είδος φυτού και το άνθος του,a type of plant and its flower
çardella,konserve balık,κονσερβοποιημένο ψάρι,canned fish
çat,"birleştirmek, kaynaştırmak","ένωση, σύντηξη","join, fuse"
çatizma/çatismata,manilerle yapılan atışma,αντιπαράθεση με μαντινάδες,verbal duel with rhymes
çember,"kadın başörtüsü,yemeni","μαντίλι, κεφαλόδεσμος","women's headscarf, yemenite headscarf"
